ISBN,Publication Year,Original Title,Authors,One Star Reviews,Two Star Reviews,Three Star Reviews,Four Star Reviews,Five Star Reviews
451458923,2002.0,Summer Knight,Jim Butcher,150,1156,12546,39840,44820
345484266,1968.0,Dragonflight,"Anne McCaffrey, Teodor Panasiński",1514,4189,19367,34403,42164
618968474,2007.0,"The History of the Hobbit, Part One: Mr. Baggins","John D. Rateliff, J.R.R. Tolkien",11128,7366,17923,26641,45387
,2014.0,Ugly Love,Colleen Hoover,1759,4146,14108,33398,62890
014100018X,1998.0,Chocolat,Joanne Harris,916,4161,22099,37751,28165
553116606,1977.0,The Amityville Horror,Jay Anson,1955,6514,22774,25273,26848
771068719,1992.0,The English Patient,Michael Ondaatje,2829,6755,19783,32472,30323
1936305550,2012.0,Gabriel's Rapture,Sylvain Reynard,1868,4020,13830,28161,49074
192839993,1914.0,Dubliners,"James Joyce, Jeri Johnson",2091,6230,22010,33444,27481
1400063736,2009.0,Let the Great World Spin,Colum McCann,1644,4957,16425,30475,25805
141321318,2003.0,The Eternity Code,Eoin Colfer,1169,3601,21954,38901,36582
440236703,2001.0,Tell No One,Harlan Coben,681,2559,15411,34596,31962
,1987.0,The Tommyknockers,Stephen King,4220,12369,31577,28068,19067
1423121309,2010.0,Hex Hall,Rachel Hawkins,2764,6358,24747,39195,41530
761169253,2010.0,Steal Like an Artist,Austin Kleon,6460,6550,18714,27654,37736
60512806,1999.0,Cryptonomicon,Neal Stephenson,1223,2983,10487,26399,40317
1476730105,2013.0,Beautiful Bastard,Christina Lauren,3634,6573,20642,37561,50891
60959037,2000.0,Prodigal Summer,Barbara Kingsolver,1196,4129,17398,30971,27410
452282829,1996.0,We Were the Mulvaneys,Joyce Carol Oates,2679,7047,22287,29134,19759
006097625X,1993.0,Understanding Comics: The Invisible Art,Scott McCloud,4662,4632,12948,20928,34783
316077054,2010.0,Beautiful Darkness,"Kami Garcia, Margaret Stohl",2229,7934,27698,36754,33036
1594485755,2011.0,The Psychopath Test,Jon Ronson,1746,4168,19334,35362,25486
743454553,2005.0,Vanishing Acts,Jodi Picoult,1234,6255,27232,31134,16915
330419641,1995.0,Absolute Power,David Baldacci,589,1787,13178,30957,29686
312976275,2000.0,Hot Six,Janet Evanovich,261,1761,18757,40597,41828
1401322786,2012.0,The Time Keeper,Mitch Albom,1665,5923,20078,27535,24609
60590270,2006.0,A Dirty Job,Christopher Moore,1310,3297,15234,32020,32823
393324818,2003.0,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,807,1589,9096,27836,32170
078681859X,2003.0,The Amulet of Samarkand,Jonathan Stroud,2045,5255,19001,34201,34950
446580503,2007.0,I Am America (And So Can You!),"Stephen Colbert, Richard Dahm, Paul Dinello, Allison Silverman, Michael Brumm, Eric Drydale, Rob Dubbin, Glenn Eichler, Peter Grosz, Peter Gwinn, Jay Katsir, Laura Krafft, Frank Lesser, Tom Purcell",1209,4029,17615,27295,22592
688014291,1981.0,The One Minute Manager,"Kenneth H. Blanchard, Spencer Johnson",1858,4985,18226,23831,23285
553258478,1958.0,Exodus,Leon Uris,458,1544,10026,26245,40823
068484477X,1994.0,Stones from the River,Ursula Hegi,1355,3708,15019,29243,31959
394758285,1939.0,The Big Sleep,Raymond Chandler,1521,4056,17190,34743,33142
014200068X,1945.0,Cannery Row ,John Steinbeck,851,3520,18946,35153,30071
446585025,2011.0,Seriously...I'm Kidding,Ellen DeGeneres,2961,8032,21234,23345,24114
439272637,2000.0,The Miserable Mill,"Lemony Snicket, Brett Helquist",1298,7142,31785,37268,31516
316175676,2012.0,The Snow Child,Eowyn Ivey,1238,3845,18320,36287,25332
,2013.0,Wait for You,"J. Lynn, Jennifer L. Armentrout",1772,3824,16957,40784,51887
810970686,2009.0,The Last Straw,Jeff Kinney,1705,4602,16436,23834,40446
679433139,1308.0,La Divina Commedia,"Dante Alighieri, Allen Mandelbaum, Eugenio Montale",1235,4476,17788,29573,35852
1405204265,1982.0,The Tao of Pooh,"Benjamin Hoff, Ernest H. Shepard",1341,3865,16342,27011,29138
1620610116,2012.0,Onyx,Jennifer L. Armentrout,1174,3166,14340,36807,63868
62085530,2013.0,"Unravel Me (Shatter Me, #2)",Tahereh Mafi,1764,3826,14757,36003,60497
812968972,2003.0,The Birth of Venus,Sarah Dunant,1743,5465,22050,29609,21122
,2005.0,The Opal Deception,Eoin Colfer,1019,3646,21890,38429,36331
385354282,2015.0,Det som inte dödar oss,"David Lagercrantz, Stieg Larsson, George Goulding",1850,5662,22883,33656,17809
081299860X,2016.0,The Girls,Emma Cline,2905,11033,32122,34599,14153
1582349908,2003.0,The Goose Girl,Shannon Hale,1726,3198,14755,33819,43515
60584750,2001.0,Mystic River,Dennis Lehane,943,2406,13458,36410,38031
99549344,2010.0,Warm Bodies,Isaac Marion,1779,5283,20394,33652,30342
451528352,1881.0,The Prince and the Pauper,"Mark Twain, Everett H. Emerson",1053,5031,26289,33530,24680
340837942,1966.0,The Moon is a Harsh Mistress,Robert A. Heinlein,877,2892,14617,30401,37878
670021458,2010.0,The Forty Rules of Love,"Elif Shafak, إليف شافاق, ارسلان فصیحی, محمد درويش",2119,3582,10129,21560,35884
330371231,1999.0,High Five,Janet Evanovich,234,1715,18880,40111,40222
1781162646,2013.0,Joyland,Stephen King,1349,4135,19027,34328,23382
1612620248,2010.0,進撃の巨人 1,"Hajime Isayama, Sheldon Drzka",1497,2163,8125,19796,52780
068480154X,1933.0,Tender Is the Night,F. Scott Fitzgerald,1719,5896,22117,32814,24222
038531258X,1984.0,Cold Sassy Tree,Olive Ann Burns,1410,3959,18327,31333,29617
811214044,1945.0,The Glass Menagerie,Tennessee Williams,2327,8897,27637,32344,21950
1609450787,2011.0,L'amica geniale,"Elena Ferrante, Ann Goldstein",2191,5663,19003,34930,26646
307353133,2007.0,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",Timothy Ferriss,2637,6377,18156,25731,25884
62515675,1996.0,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams & Reaching Your Destiny,Robin S. Sharma,2900,5582,14980,22014,20001
670022691,2011.0,Rules of Civility,Amor Towles,1044,3843,17133,36063,27049
575077026,1970.0,Ringworld,Larry Niven,1172,4609,18536,30483,27761
399254129,2011.0,Between Shades of Gray,Ruta Sepetys,885,1911,10720,34578,53192
689818769,1996.0,Frindle,"Andrew Clements, Brian Selznick",2530,7349,22318,25470,26829
810983915,2009.0,Dog Days,Jeff Kinney,1691,4157,14900,22681,39557
62065246,2012.0,The Round House,Louise Erdrich,1240,4085,16752,32262,21797
,1973.0,A Wind in the Door,Madeleine L'Engle,1318,3499,18357,34396,36202
006223742X,2012.0,Free Four: Tobias Tells the Divergent Story,Veronica Roth,1258,3843,15265,25378,42350
385539258,2015.0,A Little Life,Hanya Yanagihara,2540,3792,9264,22287,47661
1563899809,2003.0,"Y: The Last Man, Vol. 1: Unmanned","Brian K. Vaughan, Pia Guerra, José Marzán Jr.",2462,3478,12272,27613,36490
765330423,2011.0,The Alloy of Law,Brandon Sanderson,271,1652,12408,36754,33812
,2011.0,Dead Reckoning,Charlaine Harris,1623,8127,31815,36438,28038
345452003,1985.0,The Accidental Tourist,"Anne Tyler, Jennifer Bassett",1069,4354,20299,32505,24037
1442408928,2012.0,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,2086,3759,13829,33659,69912
451528522,1897.0,The Invisible Man,H.G. Wells,1620,8318,33136,34502,18141
,1985.0,世界の終りとハードボイルド・ワンダーランド [Sekai no owari to hādoboirudo wandārando],"Haruki Murakami, Alfred Birnbaum",537,2571,12766,30321,31237
61122092,1994.0,Na margem do rio Piedra eu sentei e chorei,"Paulo Coelho, Alan R. Clarke",3569,8464,20303,21049,17440
1402726023,1812.0,Der Schweizerische Robinson,"Johann David Wyss, Scott McKowen, Arthur Pober",1516,4885,20991,28531,28554
450542882,1990.0,Four Past Midnight,Stephen King,671,3658,22268,31790,23515
1937044963,2012.0,The Marriage Bargain,Jennifer Probst,2260,6830,25972,34389,28138
553213148,1909.0,Anne of Avonlea,L.M. Montgomery,736,2515,17508,39849,47537
448405202,1930.0,The Little Engine That Could,"Watty Piper, Doris Hauman, George Hauman",1585,4152,15526,21390,40835
399162097,2013.0,We Are All Completely Beside Ourselves,Karen Joy Fowler,2104,6350,20852,30962,17582
765304740,1996.0,Children of the Mind,Orson Scott Card,1630,6726,23486,29071,20462
679722769,1922.0,Ulysses,James Joyce,6976,8093,17457,22201,31757
142401773,1998.0,Someone Like You,Sarah Dessen,1183,5249,21809,27952,30485
312304358,2003.0,Moloka'i,Alan Brennert,815,2666,12907,32048,32877
99471426,1990.0,The Witching Hour,Anne Rice,1837,4549,15324,27118,39093
1581345283,1986.0,This Present Darkness,Frank E. Peretti,1574,2825,10154,21084,38433
,2012.0,The Coincidence of Callie & Kayden,Jessica Sorensen,1680,3767,14668,32938,48134
1594634475,2015.0,Fates and Furies,Lauren Groff,3942,8645,21297,27975,15926
440243750,1998.0,Summer Sisters,Judy Blume,1369,5413,21330,26826,22765
64400565,1945.0,Stuart Little,"E.B. White, Garth Williams",1571,5851,23885,29647,29520
380508567,1953.0,The Foundation Trilogy,Isaac Asimov,444,1409,8322,23209,41827
375708111,1999.0,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,1482,2773,12304,26557,26414
64408639,2000.0,The Austere Academy,"Lemony Snicket, Brett Helquist",1005,4992,25048,37595,34756
312980140,2001.0,Seven Up,Janet Evanovich,243,1819,19146,38698,38800
61662763,2009.0,The Awakening,Kelley Armstrong,1151,3775,17773,31477,44064
451459407,2003.0,Death Masks,Jim Butcher,125,812,11099,37096,41732
152802177,1993.0,Stellaluna,Janell Cannon,1330,3298,14442,24455,44878
575077883,2007.0,Before They Are Hanged,Joe Abercrombie,462,1479,9236,32187,34551
345494997,2007.0,Loving Frank,Nancy Horan,1811,6127,20667,31566,17662
312983867,2002.0,Hard Eight,"Janet Evanovich, Lorelei King",252,1930,18305,37742,39221
60566221,2001.0,The Vile Village,"Lemony Snicket, Brett Helquist",1165,4930,24324,33902,31470
446359408,1973.0,Sybil,Flora Rheta Schreiber,1086,3345,16767,26328,26329
375508325,1980.0,Cosmos,Carl Sagan,1403,2044,8926,22885,45764
1400032822,2005.0,Haunted: A Novel of Stories,Chuck Palahniuk,3632,8551,20095,22184,18091
051722285X,1987.0,The Shell Seekers,Rosamunde Pilcher,1035,3074,14363,25457,33777
1932416641,2006.0,What Is the What: The Autobiography of Valentino Achak Deng,Dave Eggers,684,2128,9938,25665,26325
140003471X,1981.0,Crónica de una muerte anunciada,"Gabriel García Márquez, Gregory Rabassa",955,4077,18369,33190,25062
582416396,1891.0,A Scandal in Bohemia,"Ronald Holt, Arthur Conan Doyle",1003,1472,9654,23231,30188
805093079,2011.0,Killing Lincoln: The Shocking Assassination that Changed America Forever,"Bill O'Reilly, Martin Dugard",3032,3067,12962,28216,29392
307265749,2013.0,The Lowland,Jhumpa Lahiri,1356,4113,16972,30069,16758
142406635,2004.0,The Ruins of Gorlan,John Flanagan,1319,3020,14065,30897,42268
067001110X,2009.0,Wintergirls,Laurie Halse Anderson,2390,5689,18550,29809,35608
385339674,2000.0,The Brethren,John Grisham,1188,5217,23942,26290,16913
553565699,1997.0,Assassin's Quest,Robin Hobb,846,3016,12847,29868,36122
451194004,1967.0,Rosemary's Baby,Ira Levin,1458,4285,19367,30332,29133
375507779,1984.0,The Talisman,"Stephen King, Peter Straub",1188,4149,15834,27743,38383
812550293,1998.0,The Path of Daggers,Robert Jordan,1130,5454,20796,27930,26819
140042520,1958.0,The Dharma Bums,Jack Kerouac,1290,4017,15055,24541,22762
1841497126,2010.0,The Reckoning,Kelley Armstrong,1256,3395,15949,29157,47052
1400067553,2012.0,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,1447,4028,15165,30994,25444
152058109,1934.0,Mary Poppins,"P.L. Travers, Mary Shepard",1382,4493,18678,27207,35844
553804685,2007.0,Red Seas Under Red Skies,Scott Lynch,432,1714,10685,31914,33858
679734775,1984.0,The House on Mango Street,Sandra Cisneros,4086,9341,25470,28936,18950
670018708,2008.0,City of Thieves,David Benioff,458,1566,9324,31105,35462
61245089,2007.0,Halfway to the Grave,Jeaniene Frost,2461,4690,16805,35199,54455
141318309,1980.0,The Twits,"Roald Dahl, Quentin Blake",1264,5201,22531,29859,31479
60278250,2003.0,Abhorsen,Garth Nix,1355,2076,10963,28715,44221
446612545,2002.0,The Beach House,"James Patterson, Peter de Jonge",1125,4351,20127,25271,19497
751504572,1987.0,Eyes of the Dragon,Stephen King,1238,4959,19595,28784,27073
441104029,1976.0,Children of Dune,Frank Herbert,861,4425,20138,30723,23589
1841499889,2011.0,Leviathan Wakes,James S.A. Corey,638,2046,11177,35570,33474
1619636042,2015.0,Queen of Shadows,Sarah J. Maas,830,1492,6544,24703,81285
679729771,1991.0,Maus II : And Here My Troubles Began ,Art Spiegelman,1337,1827,8751,25772,53582
140501827,1962.0,The Snowy Day,Ezra Jack Keats,1758,4170,15058,22324,39390
747267634,2003.0,To the Nines,Janet Evanovich,247,1811,17809,36430,37115
312554192,2012.0,Where We Belong,Emily Giffin,974,3650,19479,29787,19758
385495226,1994.0,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard   Preston,865,2675,14163,29413,29499
99448475,1999.0,スプートニクの恋人 [Supūtoniku no Koibito],"Haruki Murakami, Philip Gabriel",657,4218,21129,31826,17635
670024856,2012.0,The Signature of All Things,Elizabeth Gilbert,2242,5439,16022,26347,20325
1592402038,2003.0,"Eats, Shoots and Leaves",Lynne Truss,1519,5028,21237,32009,24339
60572965,2004.0,Dead Witch Walking,Kim Harrison,2671,5133,18380,30713,40200
399231900,1986.0,,"Clement C. Moore, Jan Brett",965,2473,12073,21977,52355
752898477,2009.0,An Echo in the Bone,Diana Gabaldon,426,1486,8981,25413,49189
61996165,2011.0,Unearthly,Cynthia Hand,2808,5060,18333,34714,43108
310226058,1988.0,The Case for Christ,Lee Strobel,2248,3100,11150,21955,31190
812577566,2005.0,Knife of Dreams,Robert Jordan,1036,3002,13517,28076,31805
440421705,2002.0,Hoot,Carl Hiaasen,1487,5482,23106,29621,22690
679729526,-17.0,Æneis,"Virgil, Robert Fitzgerald",1531,6436,23683,28909,24792
1594487367,2012.0,This is How You Lose Her,Junot Díaz,2222,5928,18086,27736,18309
307265838,2004.0,アフターダーク [Afutā dāku],"Haruki Murakami, Jay Rubin",926,5833,24947,30379,14607
553375407,1992.0,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,2488,4505,11881,20450,26644
1416995552,2010.0,It's Not Summer Without You,Jenny Han,1171,3813,15170,26207,38505
373210493,2012.0,Pushing the Limits,Katie McGarry,2464,4565,17592,33721,42130
439321611,2001.0,Quidditch Through the Ages,"Kennilworthy Whisp, J.K. Rowling",1367,8104,29884,32041,34692
395401461,1977.0,Miss Nelson Is Missing!,"Harry Allard, James  Marshall",840,2512,12582,21038,40501
451196716,1979.0,The Long Walk,"Richard Bachman, Stephen King",813,3338,14937,28192,32656
60566213,2001.0,The Ersatz Elevator,"Lemony Snicket, Brett Helquist",890,4245,22224,35182,34165
385732538,2004.0,Messenger ,Lois Lowry,737,4513,22960,35888,25197
451412354,2007.0,Lover Revealed,J.R. Ward,622,2703,14865,33783,54498
385516487,2005.0,'Salem's Lot The Illustrated Edition,"Stephen King, Jerry N. Uelsmann",460,1854,12040,24920,35451
316057770,2007.0,The Mysterious Benedict Society,"Trenton Lee Stewart, Carson Ellis",1236,3820,16158,32050,40231
446579807,2007.0,God is Not Great: How Religion Poisons Everything,Christopher Hitchens,2982,3856,12657,24274,26179
1301627445,2013.0,"Never Too Far (Too Far, #2)",Abbi Glines,1356,3842,15546,33228,49086
61015733,2004.0,State of Fear,Michael Crichton,2603,6100,19559,24269,17769
316122386,2012.0,The Statistical Probability of Love at First Sight,Jennifer E. Smith,2569,7379,25452,32106,28350
786836547,2004.0,The Golem's Eye,Jonathan Stroud,1500,2678,13194,27306,29899
184243022X,1980.0,Still Life with Woodpecker,Tom Robbins,960,2789,11834,23239,22689
156031663,2004.0,Those Who Save Us,Jenna Blum,765,2223,12264,30513,27803
385340540,2005.0,The Broker,John Grisham,893,4463,21542,25960,16965
1595143971,2011.0,Across the Universe,Beth Revis,3870,8338,24592,33481,30467
671250671,1978.0,"The Road Less Traveled:  A New Psychology of Love, Traditional Values, and Spiritual Growth",M. Scott Peck,1319,3294,13426,22757,25945
451459873,2004.0,Blood Rites,Jim Butcher,133,765,10036,34916,40525
807508527,1942.0,The Boxcar Children,"Gertrude Chandler Warner, L. Kate Deal",2080,4487,18904,27979,42493
143123238,2013.0,The Silent Wife,A.S.A. Harrison,2753,10948,28278,22276,7914
91940737,2011.0,How to Be a Woman,Caitlin Moran,3890,7041,18498,26706,22893
,2016.0,A Court of Mist and Fury,Sarah J. Maas,931,1420,4725,18000,101415
297854399,2010.0,Life,Keith Richards,2452,4587,14539,23848,20545
676979343,2008.0,Unaccustomed Earth,Jhumpa Lahiri,442,2284,11807,27840,25212
316601950,1998.0,The Pilot's Wife,Anita Shreve,1935,8327,27878,26648,11880
140283307,1985.0,White Noise,Don DeLillo,1902,5355,15405,25335,22221
743464117,1992.0,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",Stephen E. Ambrose,593,1088,6549,22048,40630
785819118,1859.0,On the Origin of Species by Means of Natural Selection or the Preservation of Favoured Races in the Struggle for Life,Charles Darwin,2513,4297,15150,22868,29228
1891830430,2003.0,Blankets,Craig Thompson,1727,3601,13030,24472,29791
61374229,2008.0,The Story of Edgar Sawtelle,David Wroblewski,4187,9296,19768,27012,19191
345439104,2000.0,Drowning Ruth,Christina Schwarz,1081,4904,21822,27694,15452
876850867,1971.0,Post Office,Charles Bukowski,790,2908,13689,28738,22283
679744398,1992.0,All the Pretty Horses,Cormac McCarthy,1406,3865,14354,29344,23930
1593082045,1914.0,"Sherlock Holmes: The Complete Novels and Stories, Vol 2","Arthur Conan Doyle, Kyle Freeman",463,1077,7005,19926,43354
1569319014,1997.0,"One Piece, Volume 01","Eiichirō Oda, Andy Nakatani",1561,2018,6936,13269,43919
451450523,1968.0,The Last Unicorn,Peter S. Beagle,1156,3142,13820,24629,37872
60577312,2005.0,Magyk,Angie Sage,2917,7378,22850,29932,28012
689848919,2000.0,Fever 1793,Laurie Halse Anderson,1268,4721,20863,31432,25328
670018864,2008.0,The Likeness,Tana French,915,2856,14814,34478,27180
307408868,2015.0,Dead Wake: The Last Crossing of the Lusitania,Erik Larson,1070,2171,12326,32604,24835
812504690,1894.0,The Jungle Book,Rudyard Kipling,1096,4323,20388,27903,27595
1439177724,2013.0,I Am Pilgrim,Terry Hayes,1949,2805,8408,22567,36261
872863107,1956.0,Howl and Other Poems ,"Allen Ginsberg, William Carlos Williams",1544,3203,12223,24316,34043
073380084X,1997.0,Don't Sweat the Small Stuff,Richard Carlson,829,3551,16609,23292,22681
1617750255,2011.0,Go the Fuck to Sleep,"Adam Mansbach, Ricardo Cortés",1546,2636,10551,20458,39553
345418778,1992.0,Mostly Harmless,Douglas Adams,856,4729,20017,28884,28938
074325807X,2003.0,Benjamin Franklin: An American Life,Walter Isaacson,3086,3391,13181,25649,26497
385343833,2011.0,The Tiger's Wife,Téa Obreht,4103,11059,25070,24442,11533
778324338,2005.0,Poison Study,Maria V. Snyder,1612,3895,16969,39358,46781
451222350,2007.0,Lover Unbound,J.R. Ward,649,2630,13782,31871,55886
60502932,2004.0,Going Postal,Terry Pratchett,346,1093,9312,29258,42055
967686563,1830.0,The Book of Mormon,"Anonymous, Joseph Smith Jr.",6989,2468,2246,1749,52708
451223292,1980.0,The Mist,Stephen King,988,4618,20962,30268,26404
045146091X,2005.0,Dead Beat,Jim Butcher,74,494,7436,30945,45100
345539826,2015.0,Golden Son,Pierce Brown,338,1069,6783,25147,46198
055215430X,2002.0,Night Watch,Terry Pratchett,232,724,7113,24480,46568
61020702,1986.0,The Light Fantastic,Terry Pratchett,344,3897,22419,36096,26012
316078573,2009.0,What the Dog Saw and Other Adventures,Malcolm Gladwell,1117,4118,19088,28218,18077
62430874,2015.0,Pretty Girls,Karin Slaughter,2344,4769,16789,33410,29314
575077905,2008.0,Last Argument of Kings,Joe Abercrombie,587,1861,9269,27438,33979
1476770387,2014.0,Revival,Stephen King,1438,4573,19386,27879,15815
679800034,1954.0,Horton Hears a Who!,Dr. Seuss,1149,3284,15440,24307,39049
393330478,2006.0,The Blind Side: Evolution of a Game,Michael   Lewis,1235,2171,10263,22861,29089
60590165,2001.0,Lirael,Garth Nix,700,1867,11594,30134,42646
316155594,2006.0,School's Out Forever,James Patterson,1342,3805,16869,30866,43941
316080845,2007.0,黒執事 I [Kuroshitsuji I],"Yana Toboso, Tomo Kimura",1380,2566,8886,16896,45723
312642989,2015.0,Winter,Marissa Meyer,359,1436,9090,32666,67187
141439734,1886.0,The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror ,"Robert Louis Stevenson, Robert Mighall",585,3466,20735,31129,24734
545457823,2012.0,,Emily Seife,1503,1999,7561,13505,43098
345503805,2008.0,The Painted Man,Peter V. Brett,1086,2245,9429,27034,37849
486426750,1678.0,,John Bunyan,2639,5492,14895,20757,32338
440241022,2005.0,One Shot,Lee Child,289,1204,10908,30708,28330
1423140575,2012.0,The Serpent's Shadow,Rick Riordan,483,2042,13098,29853,44056
1416552510,2008.0,Duma Key,Stephen King,1249,4629,18274,30121,25323
330448447,2006.0,The Shifting Fog,Kate Morton,920,3728,18993,33495,23757
081257558X,2000.0,,Robert Jordan,1205,5085,18770,26473,25981
451461037,2006.0,Proven Guilty,Jim Butcher,96,463,7367,30876,41888
451529553,1864.0,Записки из подполья,"Fyodor Dostoyevsky, Andrew R. MacAndrew, Ben Marcus",797,2379,10752,23667,29365
618084746,1940.0,The Heart is a Lonely Hunter,Carson McCullers,1669,4615,15067,26918,26743
,2014.0,The Infinite Sea,Rick Yancey,1026,4653,20427,37169,27776
441627404,1958.0,The Once and Future King,T.H. White,1380,3726,15249,29310,33264
552152978,1992.0,Small Gods,Terry Pratchett,310,1670,12118,28674,38754
385323069,1999.0,"Bud, Not Buddy",Christopher Paul Curtis,1872,5221,17604,25451,25272
618477942,2006.0,,Alison Bechdel,1782,3527,12990,29660,35035
006135323X,2007.0,Predictably Irrational: The Hidden Forces that Shape Our Decisions,Dan Ariely,820,2378,11522,27465,25808
,2012.0,الفيل الأزرق,أحمد مراد,2780,4687,11444,16996,18433
7148984,1980.0,The Indian in the Cupboard,Lynne Reid Banks,1461,4629,21436,28771,26119
765325950,2012.0,A Memory of Light,"Robert Jordan, Brandon Sanderson",635,1293,5973,19274,48566
1419701762,2012.0,Me and Earl and the Dying Girl,Jesse Andrews,4497,10268,26506,31103,21137
810984911,2010.0,The Ugly Truth,Jeff Kinney,1450,3520,12626,19330,35608
312990227,2002.0,"Janet Evanovich Three and Four Two-Book Set (Stephanie Plum, #3-4)",Janet Evanovich,641,1359,8614,17894,35186
60839783,1998.0,"The Surgeon of Crowthorne: a tale of murder, madness & the love of words",Simon Winchester,2012,4388,18659,29538,21311
446696633,2002.0,2nd Chance,"James Patterson, Andrew Gross",391,2580,17641,29784,24904
141014083,1986.0,The Complete Maus,Art Spiegelman,329,981,6162,23266,53585
142001805,2001.0,The Eyre Affair,Jasper Fforde,2396,5923,20322,34636,31354
345373944,1989.0,Anne Rice's The Vampire Lestat: The Graphic Novel,"Faye Perozich, Anne Rice, John Bolton, Daerick Gröss",661,1946,11282,20032,27982
747571775,1978.0,,"Louis Sachar, Adam McCauley",1258,3088,14298,24342,35041
1573221112,1998.0,The Art of Happiness: A Handbook for Living,"Dalai Lama XIV, Howard C. Cutler",895,2240,11259,22402,27619
1400065674,2014.0,The Bone Clocks,David Mitchell,2353,4849,14146,25148,18714
385333137,1998.0,Black and Blue,Anna Quindlen,792,3688,18693,27754,18746
62003933,2010.0,,"L.J. Smith, Kevin Williamson, Julie Plec",2206,3884,10829,12969,31000
385339682,2004.0,The Last Juror,John Grisham,606,3118,19000,26907,17324
1400032814,2003.0,Diary,Chuck Palahniuk,1633,6299,19618,21016,12803
312985347,2005.0,Eleven on Top,Janet Evanovich,274,1975,17144,34202,35258
439554004,2005.0,Tintenblut,"Cornelia Funke, Anthea Bell",1682,5597,21565,32140,29324
743236017,2003.0,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,1756,4741,14755,21605,15010
316926345,1945.0,Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder,Evelyn Waugh,1543,4150,15441,27191,27921
451461401,2007.0,White Night,Jim Butcher,109,558,7558,30249,41965
62306812,2014.0,The Miniaturist,Jessie Burton,2490,7022,22942,26801,13683
786915749,1984.0,Dragons of Autumn Twilight,"Margaret Weis, Tracy Hickman",2258,3971,15654,26532,32441
786849568,2006.0,The Lost Colony,Eoin Colfer,2469,4725,22169,38160,40493
1416951172,2006.0,Extras,Scott Westerfeld,3389,10946,27336,27149,21960
399244557,2005.0,The Burning Bridge,John Flanagan,629,1847,11085,26331,39127
670025593,2014.0,The Book of Life,Deborah Harkness,865,3154,13131,27271,33781
1585421464,1992.0,The Artist's Way: A Spiritual Path to Higher Creativity,Julia Cameron,4362,4667,12282,19762,27056
067084487X,1992.0,The Stinky Cheese Man and Other Fairly Stupid Tales,"Jon Scieszka, Lane Smith",1304,3111,13104,22685,38924
61147958,2009.0,Horns,Joe Hill,1490,3986,16998,31102,23029
679456724,2011.0,Catherine the Great: Portrait of a Woman,Robert K. Massie,3282,3485,13328,25533,24133
385528779,2009.0,The Year of the Flood,Margaret Atwood,743,2970,14154,33112,26180
312364121,2009.0,Winter Garden,Kristin Hannah,863,2603,12545,28571,30133
385339658,2003.0,The King of Torts,John Grisham,1244,5632,21215,22824,14419
316067598,2006.0,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,"Marcus Luttrell, Patrick Robinson",752,1742,6835,17239,32492
,2008.0,The 3 Mistakes of My Life,Chetan Bhagat,5980,12683,19012,11196,5923
1579126278,1926.0,The Murder of Roger Ackroyd,Agatha Christie,366,2006,14337,31542,36289
006083756X,1940.0,Native Son ,Richard Wright,1828,3920,14032,25876,24378
316033650,2008.0,Shadow's Edge,Brent Weeks,434,1701,9473,25851,33188
1907411054,2011.0,Under the Never Sky,Veronica Rossi,2732,4772,17161,34217,35431
044669651X,2003.0,True Believer,Nicholas Sparks,1397,5007,19130,22451,19640
307887898,2011.0,The Lean Startup‎,Eric Ries,2814,4154,15708,31854,36127
1595143181,2012.0,The Golden Lily,Richelle Mead,688,1779,10687,29356,49277
743290119,2008.0,Chasing Harry Winston,Lauren Weisberger,3964,10309,23393,17306,10927
345335457,1983.0,Magician's Gambit,David Eddings,635,2441,13588,26335,29821
785136207,2009.0,,"Roberto Aguirre-Sacasa, Stephen King, Mike Perkins, Laura       Martin",747,1162,5837,14861,35367
671728687,1960.0,The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,1201,2344,11463,23137,29859
1594481938,2005.0,A Long Way Down,Nick Hornby,2135,8570,25521,22277,9173
439706408,1993.0,Out from Boneville,"Jeff Smith, Steve Hamaker",1652,2967,10427,16827,31203
340640146,1995.0,Rose Madder,Stephen King,2065,8052,23483,22705,19946
515142247,1998.0,"Die Trying (Jack Reacher, #2)",Lee Child,428,2354,15935,32853,22094
316123528,2011.0,Beautiful Chaos,"Kami Garcia, Margaret Stohl, Paz Pruneda",1505,4994,18812,27022,29159
60878061,1999.0,Keeping Faith,Jodi Picoult,1023,4612,19883,26392,17348
